Year,Entity,Sector,Oil Consumption - KTOE
1975,Europe (BP),Overall,75755.75236457438
1976,Europe (BP),Overall,80919.43250214962
1977,Europe (BP),Overall,80211.5305245056
1978,Europe (BP),Overall,84271.05760963027
1979,Europe (BP),Overall,86193.31900257953
1980,Europe (BP),Overall,80384.53138435082
1981,Europe (BP),Overall,74901.6079105761
1982,Europe (BP),Overall,71260.9630266552
1983,Europe (BP),Overall,69283.23301805675
1984,Europe (BP),Overall,69691.38435081685
1985,Europe (BP),Overall,77955.43422184007
1986,Europe (BP),Overall,80355.1418744626
1987,Europe (BP),Overall,80728.5984522786
1988,Europe (BP),Overall,81129.52708512468
1989,Europe (BP),Overall,80849.88822012038
1990,Europe (BP),Overall,82394.56577815993
1991,Europe (BP),Overall,81684.43680137575
1992,Europe (BP),Overall,79553.46517626826
1993,Europe (BP),Overall,77733.00085984523
1994,Europe (BP),Overall,77362.43336199484
1995,Europe (BP),Overall,78851.22957867583
1996,Europe (BP),Overall,79673.15563198624
1997,Europe (BP),Overall,80337.50644883921
1998,Europe (BP),Overall,81973.92949269131
1999,Europe (BP),Overall,80783.24161650903
2000,Europe (BP),Overall,79785.03009458297
2001,Europe (BP),Overall,80865.9071367154
2002,Europe (BP),Overall,80604.87532244196
2003,Europe (BP),Overall,81066.11349957007
2004,Europe (BP),Overall,81821.86586414445
2005,Europe (BP),Overall,82391.57351676698
2006,Europe (BP),Overall,82610.45571797076
2007,Europe (BP),Overall,80983.8521066208
2008,Europe (BP),Overall,80096.46603611349
2009,Europe (BP),Overall,76136.1392949269
2010,Europe (BP),Overall,75271.86586414446
2011,Europe (BP),Overall,73245.51160791056
2012,Europe (BP),Overall,70750.05159071367
2013,Europe (BP),Overall,69473.68529664661
2014,Europe (BP),Overall,68146.01289767842
2015,Europe (BP),Overall,69867.8116938951
2016,Europe (BP),Overall,71504.66895958727
2017,Europe (BP),Overall,72774.07566638006
2018,Europe (BP),Overall,72615.21066208082
2019,Europe (BP),Overall,72316.29406706792
2020,Europe (BP),Overall,62694.41960447119
2021,Europe (BP),Overall,65851.25967325881
1965,European Union (27),Overall,33054.5494411006
1966,European Union (27),Overall,36429.363714531384
1967,European Union (27),Overall,39566.210662080826
1968,European Union (27),Overall,43766.12209802236
1969,European Union (27),Overall,49175.047291487535
1970,European Union (27),Overall,54953.843508168524
1971,European Union (27),Overall,57872.8546861565
1972,European Union (27),Overall,62102.695614789336
1973,European Union (27),Overall,66925.03009458298
1974,European Union (27),Overall,62984.15305245056
1975,European Union (27),Overall,61546.29406706792
1976,European Union (27),Overall,66372.07910576096
1977,European Union (27),Overall,65268.65004299226
1978,European Union (27),Overall,68676.74118658641
1979,European Union (27),Overall,70638.56405846946
1980,European Union (27),Overall,66410.11177987962
1981,European Union (27),Overall,61874.09286328461
1982,European Union (27),Overall,58106.947549441094
1983,European Union (27),Overall,56135.70937231298
1984,European Union (27),Overall,54938.46345657782
1985,European Union (27),Overall,57072.18056749785
1986,European Union (27),Overall,58994.65176268272
1987,European Union (27),Overall,59152.5399828031
1988,European Union (27),Overall,59348.099742046434
1989,European Union (27),Overall,59449.3551160791
1990,European Union (27),Overall,60728.099742046434
1991,European Union (27),Overall,60847.446259673256
1992,European Union (27),Overall,61036.625967325876
1993,European Union (27),Overall,60110.48667239896
1994,European Union (27),Overall,60382.58469475494
1995,European Union (27),Overall,61703.96388650043
1996,European Union (27),Overall,62885.313843508164
1997,European Union (27),Overall,63443.981083404986
1998,European Union (27),Overall,65320.771281169385
1999,European Union (27),Overall,64836.85296646603
2000,European Union (27),Overall,63985.697334479795
2001,European Union (27),Overall,64882.92347377472
2002,European Union (27),Overall,64432.26741186587
2003,European Union (27),Overall,64706.14531384351
2004,European Union (27),Overall,65098.49183147033
2005,European Union (27),Overall,65261.429922613934
2006,European Union (27),Overall,65301.49183147034
2007,European Union (27),Overall,63906.711951848665
2008,European Union (27),Overall,63279.68787618229
